id,name,tag,url,rank,tier,ranked_rating,damage_per_round,kd_ratio,headshot_percent,win_percent,wins,kast,dd_per_round,kills,deaths,assists,acs,kad_ratio,kills_per_round,first_bloods,flawless_rounds,aces
2190,Schizophrenic,#123,https://tracker.gg/valorant/profile/riot/Schizophrenic%23123/overview,2371,Immortal,133,140.7,1.04,0.268,0.531,110.0,0.7140000000000001,3.0,3304.0,3184.0,819.0,211.0,1.29,0.7,467.0,162.0,0.0
2191,FrenchFrysz,#NA1,https://tracker.gg/valorant/profile/riot/FrenchFrysz%23NA1/overview,2372,Immortal,133,134.7,1.07,0.3,0.54,34.0,0.732,4.0,983.0,921.0,351.0,203.1,1.45,0.7,77.0,54.0,0.0
2192,mitch,#2410,https://tracker.gg/valorant/profile/riot/mitch%232410/overview,2373,Immortal,133,134.5,0.95,0.273,0.488,40.0,0.711,-6.0,1188.0,1244.0,447.0,201.5,1.31,0.7,145.0,67.0,5.0
2193,Fragifty,#zxc,https://tracker.gg/valorant/profile/riot/Fragifty%23zxc/overview,2374,Immortal,133,161.7,1.09,0.284,0.517,61.0,0.7090000000000001,20.0,2041.0,1877.0,569.0,241.0,1.39,0.8,407.0,84.0,4.0
2194,mqxx,#mqxx,https://tracker.gg/valorant/profile/riot/mqxx%23mqxx/overview,2376,Immortal,133,132.5,0.95,0.261,0.542,64.0,0.73,-0.0,1717.0,1809.0,872.0,197.2,1.43,0.7,191.0,88.0,1.0
2195,Extress,#iwnl,https://tracker.gg/valorant/profile/riot/Extress%23iwnl/overview,2377,Immortal,133,132.0,0.96,0.19,0.521,49.0,0.735,-1.0,1323.0,1373.0,687.0,198.7,1.46,0.7,136.0,87.0,0.0
2196,los,#chill,https://tracker.gg/valorant/profile/riot/los%23chill/overview,2378,Immortal,133,164.0,1.32,0.2319999999999999,0.623,38.0,0.748,33.0,1102.0,837.0,283.0,252.2,1.65,0.9,125.0,60.0,4.0
2197,Fresh,#TWICE,https://tracker.gg/valorant/profile/riot/Fresh%23TWICE/overview,2379,Immortal,133,159.0,1.2,0.309,0.537,79.0,0.726,22.0,2663.0,2210.0,746.0,241.7,1.54,0.9,342.0,112.0,3.0
2198,hammail,#2316,https://tracker.gg/valorant/profile/riot/hammail%232316/overview,2380,Immortal,133,133.2,0.91,0.257,0.5820000000000001,96.0,0.7090000000000001,-9.0,2367.0,2597.0,1274.0,200.8,1.4,0.7,293.0,123.0,0.0
2199,jevan,#juice,https://tracker.gg/valorant/profile/riot/jevan%23juice/overview,2381,Immortal,133,157.9,1.13,0.295,0.546,137.0,0.722,15.0,4417.0,3897.0,1048.0,239.6,1.4,0.8,687.0,207.0,7.0
2200,Mocha,#yelo,https://tracker.gg/valorant/profile/riot/Mocha%23yelo/overview,2382,Immortal,132,149.2,1.01,0.249,0.441,49.0,0.695,-0.0,1807.0,1797.0,519.0,223.8,1.29,0.8,343.0,71.0,7.0
2201,HxH jamel,#aura,https://tracker.gg/valorant/profile/riot/HxH%20jamel%23aura/overview,2383,Immortal,132,163.0,1.16,0.248,0.541,33.0,0.7290000000000001,22.0,1156.0,993.0,254.0,248.0,1.42,0.9,209.0,52.0,5.0
2202,bloom to death,#myles,https://tracker.gg/valorant/profile/riot/bloom%20to%20death%23myles/overview,2385,Immortal,132,137.2,1.01,0.237,0.429,75.0,0.7240000000000001,4.0,2604.0,2572.0,921.0,204.5,1.37,0.7,267.0,135.0,3.0
2203,NolbertoEZ,#225,https://tracker.gg/valorant/profile/riot/NolbertoEZ%23225/overview,2386,Immortal,132,161.5,1.13,0.275,0.514,109.0,0.718,20.0,3784.0,3355.0,1068.0,245.4,1.45,0.8,688.0,174.0,18.0
